Guid	ID	Name	LocalizedName	#	Shortcut
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	11	Tools.FindUnusedVariablesandParameters	ツール.FindUnusedVariablesandParameters	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+B, Ctrl+F
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	11	Tools.FindUnusedVariablesandParameters	ツール.FindUnusedVariablesandParameters	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+B, Ctrl+F
{3062F745-4EA9-4C48-AC62-802D23542690}	11	Tools.ScriptObjectasALTER	ツール.ScriptObjectasALTER	1	Microsoft SQL Server Data Tools, T-SQL Editor::F12
{3062F745-4EA9-4C48-AC62-802D23542690}	11	Tools.ScriptObjectasALTER	ツール.ScriptObjectasALTER	2	Microsoft SQL Server Data Tools, テーブル デザイナー::F12
{3062F745-4EA9-4C48-AC62-802D23542690}	11	Tools.ScriptObjectasALTER	ツール.ScriptObjectasALTER	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::F12
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	5	Tools.FormatSQL	ツール.FormatSQL	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+K, Ctrl+Y
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	5	Tools.FormatSQL	ツール.FormatSQL	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+K, Ctrl+Y
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	5	Tools.FormatSQL	ツール.FormatSQL	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+K, Ctrl+Y
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	40	Tools.EnableCodeAnalysis	ツール.EnableCodeAnalysis	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+Shift+A
{3062F745-4EA9-4C48-AC62-802D23542690}	11	Tools.ScriptObjectasALTER	ツール.ScriptObjectasALTER	1	Microsoft SQL Server Data Tools, T-SQL Editor::F12
